alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_5.dat,5226.60,4997.00,5465.00,234.21,0.159,0.165,0.161,0.162,5,5,100.0
0.1,s100_p1000_instance_5.dat,8369.20,3564.00,23014.00,8233.66,0.181,0.259,0.222,0.225,5,5,100.0
0.2,s100_p1000_instance_5.dat,5442.40,3690.00,6750.00,1290.49,0.157,0.179,0.170,0.169,5,5,100.0
0.3,s100_p1000_instance_5.dat,5053.20,3966.00,5884.00,727.38,0.154,0.179,0.169,0.166,5,5,100.0
0.4,s100_p1000_instance_5.dat,7133.00,5304.00,11257.00,2569.88,0.166,0.207,0.169,0.180,5,5,100.0
0.5,s100_p1000_instance_5.dat,5268.00,4715.00,6451.00,733.34,0.160,0.234,0.169,0.180,5,5,100.0
0.6,s100_p1000_instance_5.dat,6665.60,4366.00,12820.00,3516.39,0.159,0.217,0.167,0.176,5,5,100.0
0.7,s100_p1000_instance_5.dat,7702.60,4511.00,9942.00,2193.75,0.160,0.204,0.194,0.189,5,5,100.0
0.8,s100_p1000_instance_5.dat,6351.00,4448.00,8546.00,1623.95,0.165,0.193,0.177,0.178,5,5,100.0
0.9,s100_p1000_instance_5.dat,6918.80,5253.00,8353.00,1278.32,0.170,0.197,0.180,0.183,5,5,100.0
1.0,s100_p1000_instance_5.dat,7794.00,5261.00,9442.00,1813.08,0.173,0.199,0.195,0.188,5,5,100.0
