alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_0.dat,6994.20,3078.00,11277.00,2971.43,0.171,0.580,0.229,0.318,5,5,100.0
0.1,s100_p1000_instance_0.dat,4811.80,2970.00,7847.00,1817.16,0.151,0.188,0.164,0.166,5,5,100.0
0.2,s100_p1000_instance_0.dat,6276.80,5684.00,6906.00,435.22,0.180,0.188,0.182,0.183,5,5,100.0
0.3,s100_p1000_instance_0.dat,6632.40,3966.00,11933.00,3215.67,0.165,0.243,0.172,0.187,5,5,100.0
0.4,s100_p1000_instance_0.dat,6668.20,4887.00,9037.00,1703.47,0.166,0.195,0.183,0.180,5,5,100.0
0.5,s100_p1000_instance_0.dat,6655.20,3583.00,8238.00,1957.24,0.154,0.190,0.182,0.178,5,5,100.0
0.6,s100_p1000_instance_0.dat,6193.40,3678.00,8445.00,2142.87,0.154,0.194,0.182,0.175,5,5,100.0
0.7,s100_p1000_instance_0.dat,8567.60,5392.00,15110.00,4060.69,0.170,0.238,0.186,0.198,5,5,100.0
0.8,s100_p1000_instance_0.dat,6090.20,5223.00,7507.00,881.05,0.171,0.185,0.177,0.177,5,5,100.0
0.9,s100_p1000_instance_0.dat,6779.20,4311.00,8986.00,1794.98,0.163,0.197,0.182,0.182,5,5,100.0
1.0,s100_p1000_instance_0.dat,7616.60,5523.00,9442.00,1875.73,0.170,0.205,0.191,0.188,5,5,100.0
